model,domain,accuracy,sensitivity_macro,specificity_macro,f1_macro
DNN,dwt,0.93,0.93,0.9824999999999999,0.9297148996742493
DNN,frequency_domain,0.91,0.9099999999999999,0.9775,0.9096887416533399
DNN,mfcc,0.925,0.925,0.98125,0.9252865316432134
DNN,statistical_domain,0.925,0.925,0.98125,0.9245432859256575
DNN,time_domain,0.98,0.9800000000000001,0.9949999999999999,0.9801149159387299
DNN,time_frequency,0.965,0.9650000000000001,0.99125,0.9649154180182276
KNN,dwt,0.915,0.915,0.97875,0.914291127722022
KNN,frequency_domain,0.89,0.8899999999999999,0.9724999999999999,0.8912155762008573
KNN,mfcc,0.97,0.97,0.9925,0.9700137261112871
KNN,statistical_domain,0.81,0.8099999999999999,0.9525,0.8090191260035802
KNN,time_domain,0.675,0.675,0.91875,0.6649955862032464
KNN,time_frequency,0.925,0.925,0.98125,0.9251861360718869
SVM,dwt,0.79,0.79,0.9475,0.7760017465296872
SVM,frequency_domain,0.48,0.4800000000000001,0.8699999999999999,0.5001821826630981
SVM,mfcc,0.965,0.9650000000000001,0.99125,0.965186676069029
SVM,statistical_domain,0.89,0.89,0.9724999999999999,0.8890808362780976
SVM,time_domain,0.345,0.34500000000000003,0.83625,0.33524317615567717
SVM,time_frequency,0.96,0.96,0.99,0.9600849458786985
